"Response ID","Date submitted","Last page","Start language","How important is User Experience for your?  Good user experience means functional requirements are covered completely, the program is easy to use, and it is a pleasure the work with it.","How important is Replicability for you?  Anyone can read the source code, understand how a function computes, and use it for their own projects.","How important is Transparency for you?  The project permits use, study, and modification of the source code without restriction, and as a normal user you are regularly informed about all aspects.","How important is it to have a Trusted Producer?  Trust in the producer (or rather publisher) means you know the organization and people for years and can rely on the product in the future.","How important is the availability of Technical Support for you?  Technical support in terms of the availability of wikis and forums, as well as the possibility to contact experts and even developers.","How important is Stability for you?  Stability means the program functions properly and does not hang or crash on unexpected conditions.","How important is Security for you?  Security is the protection from information theft or damage as well as from disruption or misdirection of services.","How important is the Cost factor for you?  Open Source software is usually free of charge but might have follow-up costs for training and administration, for instance.","How important is Compatibility for you? This terms means to load data processed with old software versions (backward compatibility) as well as the compatibility across different programs and platforms.","How important is Customizability/Modifiability for you?  The term means you can adapt the program to your personal needs and preferences regarding the visual appearance as well as the workflow.","What other office suites do you use on a regular basis? [Apache OpenOffice]","What other office suites do you use on a regular basis? [Apple iWork]","What other office suites do you use on a regular basis? [Calligra Suite]","What other office suites do you use on a regular basis? [Corel WordPerfect Office]","What other office suites do you use on a regular basis? [Google Docs]","What other office suites do you use on a regular basis? [Kingsoft WPS Office]","What other office suites do you use on a regular basis? [Microsoft Office]","What other office suites do you use on a regular basis? [NeoOffice]","What other office suites do you use on a regular basis? [OnlyOffice]","What other office suites do you use on a regular basis? [SoftMaker Office]","What other office suites do you use on a regular basis? [Other]","How often do you use an online office suite?","For how many years are you a user of LibreOffice and its predecessor?","Would a colleague or friend ask you how to solve a problem with LibreOffice?","What version of LibreOffice do you currently run in production (ie. not just for testing)?","What's your affiliation with the project? [Normal user]","What's your affiliation with the project? [Administration]","What's your affiliation with the project? [Development/Design]","What's your affiliation with the project? [Help authoring/User support at ask.libreoffice.org]","What's your affiliation with the project? [Marketing]","What's your affiliation with the project? [Localization]","What's your affiliation with the project? [QA: reporting, testing, confirming bugs]","What's your affiliation with the project? [Training]","Are you member of The Document Foundation?","What is your operating system?","What is your operating system? [Other]"
"1277","1980-01-01 00:00:00","1","fr","Extremely important","Very important","Very important","Extremely important","Very important","Extremely important","Extremely important","Moderately important","Extremely important","Very important","No","No","No","No","Yes","No","No","No","No","No","","occasionally","9","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"1278","1980-01-01 00:00:00","1","en","Extremely important","Very important","Moderately important","Moderately important","Slightly important","Moderately important","Very important","Very important","Extremely important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","rarely","5","Yes","I'm always on 'stable'","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Microsoft Windows 8, 10",""
"1279","1980-01-01 00:00:00","1","en","Extremely important","Very important","Very important","Slightly important","Slightly important","Extremely important","Very important","Moderately important","Extremely important","Moderately important","No","No","No","No","Yes","No","No","No","No","No","","occasionally","3","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1280","1980-01-01 00:00:00","1","en","Extremely important","Slightly important","Very important","Moderately important","Very important","Very important","Very important","Moderately important","Very important","Slightly important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","10","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1281","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"1282","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"1283","1980-01-01 00:00:00","1","en","Very important","Slightly important","Very important","Very important","Very important","Very important","Very important","Moderately important","Very important","Moderately important","Yes","No","No","No","No","No","No","No","No","No","","occasionally","4","N/A","","No","No","No","No","No","No","No","No","N/A","",""
"1284","1980-01-01 00:00:00","1","cs","Very important","Not at all important","Not at all important","Moderately important","Not at all important","Extremely important","Slightly important","Moderately important","Very important","Moderately important","No","No","No","No","Yes","No","No","No","No","No","","frequently","11","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"1285","1980-01-01 00:00:00","1","en","Extremely important","Not at all important","Very important","Moderately important","Moderately important","Extremely important","Very important","Very important","Extremely important","Very important","No","No","No","No","No","No","No","No","No","No","libre office","frequently","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"1286","1980-01-01 00:00:00","1","en","Very important","Moderately important","Moderately important","Moderately important","Slightly important","Extremely important","Moderately important","Moderately important","Extremely important","Moderately important","No","No","No","No","No","Yes","Yes","No","No","No","","never","5","N/A","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1287","1980-01-01 00:00:00","1","cs","Very important","Not at all important","Very important","Very important","Moderately important","Extremely important","Extremely important","Extremely important","Extremely important","Slightly important","No","No","No","No","No","No","No","No","No","No","","never","","No","I don't care at all","Yes","No","No","No","No","No","No","No","No","Linux",""
"1288","1980-01-01 00:00:00","1","de","Very important","Moderately important","Very important","Very important","Moderately important","Very important","Extremely important","Moderately important","Very important","Very important","No","No","No","No","No","No","Yes","No","No","No","","rarely","6","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1289","1980-01-01 00:00:00","1","fr","Very important","Very important","Moderately important","Extremely important","Moderately important","Extremely important","Very important","Moderately important","Very important","Very important","No","No","No","No","No","No","Yes","No","No","No","","never","5","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1290","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Not at all important","","Extremely important","Slightly important","Extremely important","Extremely important","Moderately important","Extremely important","No","No","No","No","Yes","Yes","Yes","No","No","No","","rarely","5","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Other","Windows 10 and Arch Linux"
"1291","1980-01-01 00:00:00","1","en","Extremely important","Not at all important","Moderately important","Moderately important","Slightly important","Moderately important","Extremely important","Extremely important","Extremely important","Extremely important","No","No","No","No","No","No","Yes","No","No","No","","rarely","3","Yes","No idea, whatever the updater recommends","Yes","No","No","No","No","No","No","No","No","Linux",""
"1292","1980-01-01 00:00:00","1","cs","Moderately important","Slightly important","Slightly important","Very important","Slightly important","Very important","Extremely important","Very important","Very important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","frequently","3","Yes","No idea, whatever the updater recommends","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"1293","1980-01-01 00:00:00","1","it","Extremely important","Extremely important","Very important","Very important","Very important","Extremely important","Very important","Moderately important","Very important","Moderately important","No","No","No","No","Yes","No","No","No","No","No","","occasionally","10","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","Yes","No","No","Linux",""
"1294","1980-01-01 00:00:00","1","en","Moderately important","Slightly important","Moderately important","Moderately important","Very important","Moderately important","Moderately important","Very important","Extremely important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","rarely","10","Yes","No idea, whatever the updater recommends","Yes","No","No","No","No","No","No","No","No","Other","Win10, but also Linux to a lesser extent; this should have been a multiple-choice question, IMO."
"1295","1980-01-01 00:00:00","1","en","Very important","Slightly important","Not at all important","Moderately important","Moderately important","Extremely important","Very important","Very important","Extremely important","Slightly important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1296","1980-01-01 00:00:00","1","en","Very important","Very important","Moderately important","Very important","Moderately important","Extremely important","Extremely important","Very important","Extremely important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","occasionally","17","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1297","1980-01-01 00:00:00","1","es","Very important","Extremely important","Extremely important","Very important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Yes","No","No","No","No","No","No","No","No","No","","never","18","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1298","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Very important","Moderately important","Slightly important","Extremely important","Very important","Moderately important","Moderately important","Not at all important","No","No","No","No","Yes","No","No","No","No","No","","always","17","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1299","1980-01-01 00:00:00","1","fr","Extremely important","Very important","Extremely important","Very important","Slightly important","Extremely important","Extremely important","Moderately important","Extremely important","Slightly important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1300","1980-01-01 00:00:00","1","it","Extremely important","Moderately important","Not at all important","Very important","Very important","Extremely important","Very important","Very important","Extremely important","Very important","No","No","No","No","No","No","No","No","No","No","","rarely","7","No","No idea, whatever the updater recommends","Yes","No","No","No","No","No","No","No","No","Linux",""
"1301","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"1302","1980-01-01 00:00:00","1","en","Very important","Very important","Very important","Extremely important","Moderately important","Extremely important","Very important","Moderately important","Slightly important","Extremely important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","13","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1303","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Moderately important","Extremely important","Slightly important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"1304","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"1305","1980-01-01 00:00:00","1","fr","Very important","Very important","Extremely important","Extremely important","Very important","Very important","Extremely important","Moderately important","Very important","Moderately important","No","No","No","No","No","No","No","No","No","No","","never","15","Yes","Nothing else than 'fresh'","Yes","No","No","Yes","No","No","No","No","Yes","Microsoft Windows 7",""
"1306","1980-01-01 00:00:00","1","nl","Very important","Slightly important","Moderately important","Moderately important","Slightly important","Very important","Extremely important","Moderately important","Moderately important","Slightly important","No","No","No","No","No","No","Yes","No","No","No","","rarely","5","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Other","Mac, Linux & win7"
"1307","1980-01-01 00:00:00","1","it","Very important","Very important","Extremely important","Very important","Very important","Extremely important","Very important","Moderately important","Very important","Very important","No","No","No","No","No","No","Yes","No","No","No","","never","4","Yes","I'm always on 'stable'","Yes","No","No","No","No","Yes","No","No","No","Linux",""
"1308","1980-01-01 00:00:00","1","cs","Very important","Moderately important","Moderately important","Slightly important","Moderately important","Very important","Moderately important","Moderately important","Extremely important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","16","No","No idea, whatever the updater recommends","Yes","Yes","No","No","No","No","No","No","No","Linux",""
"1309","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"1310","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Very important","Very important","Moderately important","Very important","Extremely important","Moderately important","Very important","Slightly important","No","No","No","No","Yes","Yes","Yes","No","No","No","","frequently","9","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows XP, 2000, Vista, NT",""
"1311","1980-01-01 00:00:00","1","en","Very important","Not at all important","Not at all important","Very important","Moderately important","Extremely important","Extremely important","Very important","Extremely important","Moderately important","No","No","No","No","No","Yes","Yes","No","No","No","","never","10","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"1312","1980-01-01 00:00:00","1","en","Very important","Moderately important","Very important","Moderately important","Moderately important","Very important","Very important","Very important","Moderately important","Very important","No","No","No","No","No","No","No","No","No","No","","rarely","10","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"1313","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"1314","","","cs","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"1315","1980-01-01 00:00:00","1","en","Very important","Slightly important","Very important","Slightly important","Moderately important","Very important","Extremely important","Moderately important","Extremely important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","13","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1316","1980-01-01 00:00:00","1","en","Extremely important","Slightly important","Slightly important","Moderately important","Slightly important","Extremely important","Very important","Moderately important","Very important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","rarely","4","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","macOS",""
"1317","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Very important","Moderately important","Moderately important","Very important","Very important","Moderately important","Extremely important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","always","7","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","Yes","Linux",""
"1318","1980-01-01 00:00:00","1","fr","Very important","","Moderately important","Moderately important","Very important","Extremely important","Very important","Very important","Very important","Moderately important","No","No","No","No","Yes","Yes","No","No","No","No","","occasionally","","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"1319","1980-01-01 00:00:00","1","en","Very important","Slightly important","Very important","Extremely important","Slightly important","Extremely important","Very important","Extremely important","Extremely important","Moderately important","No","No","No","No","Yes","No","No","No","No","No","","frequently","3","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"1320","1980-01-01 00:00:00","1","en","Very important","Moderately important","Very important","Very important","Moderately important","Very important","Very important","Moderately important","Extremely important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","10","Yes","Nothing else than 'fresh'","Yes","Yes","No","No","No","No","No","No","No","Linux",""
"1321","1980-01-01 00:00:00","1","en","Extremely important","Slightly important","Slightly important","Extremely important","Very important","Extremely important","Extremely important","Moderately important","Extremely important","Extremely important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","3","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"1322","1980-01-01 00:00:00","1","nl","Moderately important","Moderately important","Very important","Moderately important","Moderately important","Very important","Very important","Slightly important","Very important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","rarely","9","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1323","1980-01-01 00:00:00","1","en","Very important","Moderately important","Moderately important","Very important","Slightly important","Very important","Very important","Very important","Very important","Slightly important","No","No","No","No","Yes","No","No","No","No","No","","frequently","12","Yes","No idea, whatever the updater recommends","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"1324","1980-01-01 00:00:00","1","en","Extremely important","Very important","Moderately important","Extremely important","Slightly important","Very important","Extremely important","Extremely important","Extremely important","Moderately important","No","No","No","No","Yes","No","No","No","No","No","","frequently","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1325","1980-01-01 00:00:00","1","en","Very important","Moderately important","Moderately important","Extremely important","Moderately important","Extremely important","Very important","Moderately important","Extremely important","Extremely important","No","No","No","No","No","No","No","No","No","No","","never","7","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1326","1980-01-01 00:00:00","1","en","Moderately important","Moderately important","Extremely important","Not at all important","Slightly important","Moderately important","Extremely important","Slightly important","Very important","Extremely important","Yes","No","No","No","Yes","No","Yes","No","No","No","","occasionally","5","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1327","1980-01-01 00:00:00","1","en","Not at all important","Moderately important","Extremely important","Very important","Very important","Extremely important","Extremely important","Not at all important","Extremely important","Slightly important","No","No","No","No","No","No","No","No","No","No","","never","11","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","Yes","No","Linux",""
"1328","1980-01-01 00:00:00","1","en","Extremely important","Very important","Extremely important","Not at all important","Not at all important","Moderately important","Not at all important","Extremely important","Extremely important","Extremely important","No","No","No","No","No","No","Yes","No","No","No","","occasionally","13","Yes","No idea, whatever the updater recommends","Yes","No","No","No","No","No","No","No","No","Linux",""
"1329","1980-01-01 00:00:00","1","de","Very important","Slightly important","Very important","Moderately important","Slightly important","Very important","Moderately important","Not at all important","Very important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","10","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1330","1980-01-01 00:00:00","1","en","Extremely important","Slightly important","Slightly important","Very important","Slightly important","Extremely important","Very important","Extremely important","Extremely important","Very important","No","Yes","No","No","Yes","No","Yes","No","No","No","","frequently","11","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","macOS",""
"1331","1980-01-01 00:00:00","1","en","Very important","Very important","Very important","Moderately important","Very important","Extremely important","Very important","Slightly important","Slightly important","Slightly important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","15","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"1332","1980-01-01 00:00:00","1","en","Very important","Extremely important","Very important","Very important","Very important","Moderately important","Very important","Moderately important","Very important","Moderately important","No","No","No","No","No","No","No","No","No","No","","occasionally","15","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1333","1980-01-01 00:00:00","1","fr","Very important","Moderately important","Very important","Extremely important","Moderately important","Extremely important","Extremely important","Very important","Extremely important","Very important","No","No","No","No","No","Yes","Yes","No","No","No","","always","5","Yes","I'm always on 'stable'","Yes","Yes","No","No","No","No","No","Yes","No","Linux",""
"1334","1980-01-01 00:00:00","1","en","Very important","Not at all important","Slightly important","Extremely important","Moderately important","Extremely important","Moderately important","Extremely important","Very important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","never","4","N/A","I'm always on 'stable'","Yes","Yes","No","No","No","No","No","No","No","Linux",""
"1335","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Moderately important","Extremely important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","never","2","Yes","Nothing else than 'fresh'","Yes","Yes","Yes","No","No","No","No","No","No","Linux",""
"1336","1980-01-01 00:00:00","1","de","Moderately important","Very important","Very important","Very important","Extremely important","Moderately important","Very important","Moderately important","Very important","Slightly important","No","No","Yes","No","No","No","No","No","No","No","","occasionally","10","Yes","Nothing else than 'fresh'","Yes","Yes","No","No","No","No","No","No","No","Linux",""
"1337","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"1338","1980-01-01 00:00:00","1","en","Very important","Slightly important","Moderately important","Slightly important","Moderately important","Very important","Very important","Very important","Extremely important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","rarely","","No","I don't care at all","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"1339","","0","en","","","","","","","","","","","No","No","No","No","No","No","No","No","No","No","","","","N/A","","No","No","No","No","No","No","No","No","N/A","",""
"1340","","","it","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"1341","1980-01-01 00:00:00","1","en","Extremely important","Very important","Extremely important","Very important","Very important","Extremely important","Extremely important","Moderately important","Extremely important","Moderately important","No","No","No","No","Yes","Yes","Yes","No","No","No","","occasionally","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"1342","1980-01-01 00:00:00","1","en","Extremely important","Not at all important","Slightly important","Moderately important","Slightly important","Very important","Extremely important","Very important","Very important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","1","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"1343","1980-01-01 00:00:00","1","en","Extremely important","Not at all important","Not at all important","Extremely important","Not at all important","Very important","Very important","Not at all important","Very important","Not at all important","Yes","No","No","No","No","No","Yes","No","No","No","","never","12","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"1344","1980-01-01 00:00:00","1","fr","Very important","Very important","Very important","Very important","Moderately important","Very important","Very important","Moderately important","Extremely important","Very important","No","No","No","No","No","No","Yes","No","No","No","","never","8","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1345","","","fr","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"1346","1980-01-01 00:00:00","1","it","Extremely important","Very important","Very important","Very important","Very important","Extremely important","Extremely important","Very important","Extremely important","Extremely important","No","No","No","No","No","No","Yes","No","No","No","","never","13","Yes","No idea, whatever the updater recommends","Yes","Yes","No","No","No","No","No","No","No","Linux",""
"1347","1980-01-01 00:00:00","1","fr","Very important","Very important","Very important","Very important","Moderately important","Extremely important","Very important","Moderately important","Very important","Very important","No","No","No","No","No","No","Yes","No","No","No","","frequently","15","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","Yes","Yes","No","Linux",""
"1348","1980-01-01 00:00:00","1","en","Extremely important","Not at all important","Not at all important","Very important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","never","10","Yes","No idea, whatever the updater recommends","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"1349","1980-01-01 00:00:00","1","es","Very important","Extremely important","Extremely important","Extremely important","Very important","Extremely important","Extremely important","Very important","Extremely important","Very important","No","No","No","No","No","No","Yes","No","No","No","","never","5","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1350","1980-01-01 00:00:00","1","en","Extremely important","Slightly important","Slightly important","Extremely important","Very important","Extremely important","Very important","Extremely important","Very important","Very important","No","No","No","No","No","No","Yes","No","No","No","","occasionally","10","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"1351","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"1352","1980-01-01 00:00:00","1","en","Extremely important","Very important","Very important","Extremely important","Extremely important","Extremely important","Very important","Moderately important","Very important","Very important","Yes","No","Yes","No","Yes","No","No","No","No","No","","rarely","5","Yes","I'm always on 'stable'","No","No","No","No","No","No","No","Yes","No","Linux",""
"1353","1980-01-01 00:00:00","1","es","Very important","Very important","Very important","Extremely important","Very important","Extremely important","Extremely important","Very important","Extremely important","Moderately important","No","No","No","No","No","No","No","No","No","No","nenhum otro","never","19","Yes","Nothing else than 'fresh'","Yes","No","No","Yes","No","No","No","No","No","Microsoft Windows 7",""
"1354","1980-01-01 00:00:00","1","en","Extremely important","Slightly important","Very important","Moderately important","Slightly important","Extremely important","Slightly important","Very important","Extremely important","Slightly important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","15","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1355","1980-01-01 00:00:00","1","en","Very important","Not at all important","Not at all important","Extremely important","Slightly important","Extremely important","Moderately important","Very important","Extremely important","Slightly important","No","No","No","No","Yes","Yes","No","No","Yes","No","Polaris","frequently","1","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"1356","1980-01-01 00:00:00","1","en","Very important","Extremely important","Extremely important","Very important","Very important","Extremely important","Extremely important","Very important","Extremely important","Very important","No","No","No","No","Yes","No","No","No","No","No","","occasionally","9","Yes","I'm always on 'stable'","Yes","No","No","Yes","No","No","Yes","No","No","Linux",""
"1357","1980-01-01 00:00:00","1","en","Extremely important","Slightly important","Slightly important","Very important","Slightly important","Extremely important","Very important","Extremely important","Extremely important","Very important","No","No","No","No","No","No","Yes","No","No","No","","never","15","Yes","No idea, whatever the updater recommends","Yes","No","No","No","No","No","No","No","No","Linux",""
"1358","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Very important","Moderately important","Slightly important","Extremely important","Extremely important","Very important","Very important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","3","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"1359","1980-01-01 00:00:00","1","cs","Moderately important","Slightly important","Slightly important","Moderately important","Slightly important","Very important","Moderately important","Moderately important","Very important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","never","5","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1360","1980-01-01 00:00:00","1","en","Very important","Slightly important","Moderately important","Very important","Moderately important","Extremely important","Very important","Very important","Moderately important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","12","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"1361","1980-01-01 00:00:00","1","en","Extremely important","Not at all important","Slightly important","Moderately important","Slightly important","Very important","Extremely important","Slightly important","Extremely important","Slightly important","No","No","No","No","Yes","Yes","Yes","No","No","No","","occasionally","12","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"1362","1980-01-01 00:00:00","1","en","Very important","Not at all important","Slightly important","Slightly important","Slightly important","Extremely important","Moderately important","Not at all important","Extremely important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","never","12","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1363","1980-01-01 00:00:00","1","en","Very important","Very important","Very important","Moderately important","Moderately important","Extremely important","Very important","Moderately important","Extremely important","Very important","No","No","No","No","No","No","Yes","No","No","No","","never","15","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"1364","1980-01-01 00:00:00","1","cs","Extremely important","Slightly important","Moderately important","Very important","Moderately important","Extremely important","Extremely important","Very important","Extremely important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","14","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"1365","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"1366","1980-01-01 00:00:00","1","en","Very important","Very important","Very important","Moderately important","Slightly important","Extremely important","Very important","Slightly important","Very important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","rarely","10","No","No idea, whatever the updater recommends","Yes","No","No","No","No","No","No","No","No","Linux",""
